game_id,retrieved_at,forecast_for_utc,hours_to_kickoff,is_indoor,roof_status_unknown,source,temp_f,feels_like_f,wind_mph,wind_gust_mph,wind_dir_deg,precip_prob,precip_in,humidity_pct,condition_code
2026_NFL_W03_CIN_PIT,2026-09-15T11:05:18.271438+00:00,2026-09-27T17:00:00+00:00,293.9,False,False,open_meteo,76.7,79.1,3.6,5.4,169.0,0.09,0.0,49.0,1.0
2026_NFL_W03_SEA_WAS,2026-09-15T11:05:18.921059+00:00,2026-09-27T17:00:00+00:00,293.9,False,False,open_meteo,79.7,83.4,4.1,4.9,131.0,0.07,0.0,50.0,1.0
2026_NFL_W03_ARI_SF,2026-09-15T11:05:18.921455+00:00,2026-09-27T20:05:00+00:00,297.0,False,False,open_meteo,73.5,70.2,6.5,11.4,354.0,0.01,0.0,25.0,0.0
2026_NFL_W03_MIN_TB,2026-09-15T11:05:18.921795+00:00,2026-09-27T20:05:00+00:00,297.0,False,False,open_meteo,86.4,90.7,10.9,14.5,105.0,0.32,0.0,62.0,3.0
2026_NFL_W03_BAL_DAL,2026-09-15T11:05:19.577330+00:00,2026-09-27T20:25:00+00:00,297.3,False,False,open_meteo,74.1,78.8,7.9,25.1,222.0,0.25,0.004,87.0,51.0
2026_NFL_W03_LV_NO,2026-09-15T11:05:19.577610+00:00,2026-09-27T20:25:00+00:00,297.3,True,False,open_meteo,,,,,,,,,
2026_NFL_W03_LAR_DEN,2026-09-15T11:05:19.577943+00:00,2026-09-28T00:20:00+00:00,301.2,False,False,open_meteo,83.8,78.3,8.5,8.7,342.0,0.03,0.0,23.0,3.0
2026_NFL_W03_PHI_CHI,2026-09-15T11:05:19.578260+00:00,2026-09-29T00:15:00+00:00,325.2,False,False,open_meteo,80.5,81.1,6.7,14.3,178.0,0.1,0.0,50.0,0.0
2026_NFL_W03_ATL_GB,2026-09-16T11:05:40.117920+00:00,2026-09-25T00:15:00+00:00,205.2,False,False,open_meteo,50.9,44.7,10.2,23.5,306.0,0.08,0.0,72.0,2.0
2026_NFL_W03_LAC_BUF,2026-09-16T11:05:40.118470+00:00,2026-09-27T17:00:00+00:00,269.9,False,False,open_meteo,66.4,62.6,13.0,14.3,251.0,0.06,0.0,58.0,0.0
2026_NFL_W03_CAR_CLE,2026-09-16T11:05:41.208369+00:00,2026-09-27T17:00:00+00:00,269.9,False,False,open_meteo,67.1,65.0,6.2,8.5,224.0,0.11,0.0,45.0,0.0
2026_NFL_W03_NYJ_DET,2026-09-16T11:05:41.208741+00:00,2026-09-27T17:00:00+00:00,269.9,True,False,open_meteo,,,,,,,,,
2026_NFL_W03_HOU_IND,2026-09-16T11:05:42.327169+00:00,2026-09-27T17:00:00+00:00,269.9,False,True,open_meteo,69.3,66.3,6.6,8.9,147.0,0.06,0.0,36.0,0.0
2026_NFL_W03_NE_JAX,2026-09-16T11:05:43.428460+00:00,2026-09-27T17:00:00+00:00,269.9,False,False,open_meteo,78.4,75.9,17.7,31.5,61.0,0.39,0.0,61.0,3.0
2026_NFL_W03_KC_MIA,2026-09-16T11:05:44.540380+00:00,2026-09-27T17:00:00+00:00,269.9,False,False,open_meteo,81.9,80.6,23.3,34.4,176.0,0.46,0.012,70.0,51.0
2026_NFL_W03_TEN_NYG,2026-09-16T11:05:44.540960+00:00,2026-09-27T17:00:00+00:00,269.9,False,False,open_meteo,72.0,69.3,6.8,10.1,319.0,0.13,0.0,34.0,0.0
2026_NFL_W03_CIN_PIT,2026-09-16T11:05:45.640631+00:00,2026-09-27T17:00:00+00:00,269.9,False,False,open_meteo,67.0,66.0,2.3,2.2,151.0,0.15,0.0,38.0,0.0
2026_NFL_W03_SEA_WAS,2026-09-16T11:05:46.747349+00:00,2026-09-27T17:00:00+00:00,269.9,False,False,open_meteo,72.0,70.7,3.6,4.7,330.0,0.1,0.0,32.0,0.0
2026_NFL_W03_ARI_SF,2026-09-16T11:05:46.747945+00:00,2026-09-27T20:05:00+00:00,273.0,False,False,open_meteo,78.2,78.5,6.1,5.8,324.0,0.0,0.0,39.0,0.0
2026_NFL_W03_MIN_TB,2026-09-16T11:05:46.748423+00:00,2026-09-27T20:05:00+00:00,273.0,False,False,open_meteo,74.1,70.8,27.7,36.2,59.0,0.4,0.047,89.0,55.0
2026_NFL_W03_BAL_DAL,2026-09-16T11:05:47.855129+00:00,2026-09-27T20:25:00+00:00,273.3,False,False,open_meteo,70.5,72.5,11.2,26.8,158.0,0.19,0.031,90.0,53.0
